label,lirik,Data Cleaning,Case Folding,Normalisasi,Tokenisasi,Stopword Removal,Stemming,Rejoin
happy,alangkah indahnya indonesia indonesia,alangkah indahnya indonesia indonesia,alangkah indahnya indonesia indonesia,alangkah indahnya indonesia indonesia,"['alangkah', 'indahnya', 'indonesia', 'indonesia']","['alangkah', 'indahnya', 'indonesia', 'indonesia']","['alangkah', 'indah', 'indonesia', 'indonesia']",alangkah indah indonesia indonesia
happy,Alangkah indahnya oh pagi hadirmu slalu kunanti,Alangkah indahnya oh pagi hadirmu slalu kunanti,alangkah indahnya oh pagi hadirmu slalu kunanti,alangkah indahnya oh pagi hadirmu selalu kunanti,"['alangkah', 'indahnya', 'oh', 'pagi', 'hadirmu', 'selalu', 'kunanti']","['alangkah', 'indahnya', 'oh', 'pagi', 'hadirmu', 'kunanti']","['alangkah', 'indah', 'oh', 'pagi', 'hadir', 'nanti']",alangkah indah oh pagi hadir nanti
happy,alangkah indahnya pemandangan,alangkah indahnya pemandangan,alangkah indahnya pemandangan,alangkah indahnya pemandangan,"['alangkah', 'indahnya', 'pemandangan']","['alangkah', 'indahnya', 'pemandangan']","['alangkah', 'indah', 'pandang']",alangkah indah pandang
happy,Alhamdulillah...,Alhamdulillah   ,alhamdulillah   ,alhamdulillah,['alhamdulillah'],['alhamdulillah'],['alhamdulillah'],alhamdulillah
happy,Allah bersama kita,Allah bersama kita,allah bersama kita,allah bersama kita,"['allah', 'bersama', 'kita']",['allah'],['allah'],allah
happy,Allahu akbar,Allahu akbar,allahu akbar,allahu akbar,"['allahu', 'akbar']","['allahu', 'akbar']","['allahu', 'akbar']",allahu akbar
happy,Alunan irama tropikal memanggilmu,Alunan irama tropikal memanggilmu,alunan irama tropikal memanggilmu,alunan irama tropikal memanggilmu,"['alunan', 'irama', 'tropikal', 'memanggilmu']","['alunan', 'irama', 'tropikal', 'memanggilmu']","['alun', 'irama', 'tropikal', 'panggil']",alun irama tropikal panggil
happy,Aman masing masing,Aman masing masing,aman masing masing,aman masing masing,"['aman', 'masing', 'masing']",['aman'],['aman'],aman
happy,Amboi mak aku dicubit,Amboi mak aku dicubit,amboi mak aku dicubit,amboi ibu aku dicubit,"['amboi', 'ibu', 'aku', 'dicubit']","['amboi', 'dicubit']","['amboi', 'cubit']",amboi cubit
happy,Amboi nona manis sekali,Amboi nona manis sekali,amboi nona manis sekali,amboi nona manis sekali,"['amboi', 'nona', 'manis', 'sekali']","['amboi', 'nona', 'manis']","['amboi', 'nona', 'manis']",amboi nona manis
happy,Anak Dalam Malaf (2x),Anak Dalam Malaf   x ,anak dalam malaf   x ,anak dalam malaf x,"['anak', 'dalam', 'malaf', 'x']","['anak', 'malaf', 'x']","['anak', 'malaf', 'x']",anak malaf x
happy,Anak muda perjaka dari desa,Anak muda perjaka dari desa,anak muda perjaka dari desa,anak muda perjaka dari desa,"['anak', 'muda', 'perjaka', 'dari', 'desa']","['anak', 'muda', 'perjaka', 'desa']","['anak', 'muda', 'perjaka', 'desa']",anak muda perjaka desa
happy,Anak tidur tenang Anak tidur tenang,Anak tidur tenang Anak tidur tenang,anak tidur tenang anak tidur tenang,anak tidur tenang anak tidur tenang,"['anak', 'tidur', 'tenang', 'anak', 'tidur', 'tenang']","['anak', 'tidur', 'tenang', 'anak', 'tidur', 'tenang']","['anak', 'tidur', 'tenang', 'anak', 'tidur', 'tenang']",anak tidur tenang anak tidur tenang
happy,Anakku seorang,Anakku seorang,anakku seorang,anakku seorang,"['anakku', 'seorang']",['anakku'],['anak'],anak
happy,Anakku yang kuat  anakku yang tabah,Anakku yang kuat  anakku yang tabah,anakku yang kuat  anakku yang tabah,anakku yang kuat anakku yang tabah,"['anakku', 'yang', 'kuat', 'anakku', 'yang', 'tabah']","['anakku', 'kuat', 'anakku', 'tabah']","['anak', 'kuat', 'anak', 'tabah']",anak kuat anak tabah
happy,Andai dapat berbisik dalam belahan jiwa,Andai dapat berbisik dalam belahan jiwa,andai dapat berbisik dalam belahan jiwa,andai dapat berbisik dalam belahan jiwa,"['andai', 'dapat', 'berbisik', 'dalam', 'belahan', 'jiwa']","['andai', 'berbisik', 'belahan', 'jiwa']","['andai', 'bisik', 'bahan', 'jiwa']",andai bisik bahan jiwa
happy,Andai engkau tahu,Andai engkau tahu,andai engkau tahu,andai engkau tahu,"['andai', 'engkau', 'tahu']","['andai', 'engkau']","['andai', 'engkau']",andai engkau
happy,Andai engkau tahu ku hanya ingin dirimu,Andai engkau tahu ku hanya ingin dirimu,andai engkau tahu ku hanya ingin dirimu,andai engkau tahu ku hanya ingin dirimu,"['andai', 'engkau', 'tahu', 'ku', 'hanya', 'ingin', 'dirimu']","['andai', 'engkau', 'ku', 'dirimu']","['andai', 'engkau', 'ku', 'diri']",andai engkau ku diri
happy,Andaikan dalam sekejap,Andaikan dalam sekejap,andaikan dalam sekejap,andaikan dalam sekejap,"['andaikan', 'dalam', 'sekejap']","['andaikan', 'sekejap']","['andai', 'kejap']",andai kejap
happy,Andaikan Engkau Tahu Yang Kurasakan,Andaikan Engkau Tahu Yang Kurasakan,andaikan engkau tahu yang kurasakan,andaikan engkau tahu yang kurasakan,"['andaikan', 'engkau', 'tahu', 'yang', 'kurasakan']","['andaikan', 'engkau', 'kurasakan']","['andai', 'engkau', 'rasa']",andai engkau rasa
happy,Andaikan saja selalu ada,Andaikan saja selalu ada,andaikan saja selalu ada,andaikan saja selalu ada,"['andaikan', 'saja', 'selalu', 'ada']",['andaikan'],['andai'],andai
happy,Angan terbentang terbang ke awan,Angan terbentang terbang ke awan,angan terbentang terbang ke awan,angan terbentang terbang ke awan,"['angan', 'terbentang', 'terbang', 'ke', 'awan']","['angan', 'terbentang', 'terbang', 'awan']","['angan', 'bentang', 'terbang', 'awan']",angan bentang terbang awan
happy,Anganku,Anganku,anganku,anganku,['anganku'],['anganku'],['angan'],angan
happy,Angkasa ruang luas tanpa batas,Angkasa ruang luas tanpa batas,angkasa ruang luas tanpa batas,angkasa ruang luas tanpa batas,"['angkasa', 'ruang', 'luas', 'tanpa', 'batas']","['angkasa', 'ruang', 'luas', 'batas']","['angkasa', 'ruang', 'luas', 'batas']",angkasa ruang luas batas
happy,Anugerah terindah yang pernah kumiliki,Anugerah terindah yang pernah kumiliki,anugerah terindah yang pernah kumiliki,anugerah terindah yang pernah kumiliki,"['anugerah', 'terindah', 'yang', 'pernah', 'kumiliki']","['anugerah', 'terindah', 'kumiliki']","['anugerah', 'indah', 'milik']",anugerah indah milik
happy,Apa adanya diriku selama ini,Apa adanya diriku selama ini,apa adanya diriku selama ini,apa adanya diriku selama ini,"['apa', 'adanya', 'diriku', 'selama', 'ini']",['diriku'],['diri'],diri
happy,Apa adanya untuk dirimu,Apa adanya untuk dirimu,apa adanya untuk dirimu,apa adanya untuk dirimu,"['apa', 'adanya', 'untuk', 'dirimu']",['dirimu'],['diri'],diri
happy,Apa dayaku,Apa dayaku,apa dayaku,apa dayaku,"['apa', 'dayaku']",['dayaku'],['daya'],daya
happy,Apa yang kau cari,Apa yang kau cari,apa yang kau cari,apa yang kamu cari,"['apa', 'yang', 'kamu', 'cari']",['cari'],['cari'],cari
happy,Apa Yang Kau Dengarkan,Apa Yang Kau Dengarkan,apa yang kau dengarkan,apa yang kamu dengarkan,"['apa', 'yang', 'kamu', 'dengarkan']",['dengarkan'],['dengar'],dengar
happy,Apa Yang Kurasakan,Apa Yang Kurasakan,apa yang kurasakan,apa yang kurasakan,"['apa', 'yang', 'kurasakan']",['kurasakan'],['rasa'],rasa
happy,Apa yang telah kita lewati berdua,Apa yang telah kita lewati berdua,apa yang telah kita lewati berdua,apa yang telah kita lewati berdua,"['apa', 'yang', 'telah', 'kita', 'lewati', 'berdua']","['lewati', 'berdua']","['lewat', 'dua']",lewat dua
happy,Apakah dirimu yang mampu,Apakah dirimu yang mampu,apakah dirimu yang mampu,apakah dirimu yang mampu,"['apakah', 'dirimu', 'yang', 'mampu']",['dirimu'],['diri'],diri
happy,Apakah kita bisa menjalani,Apakah kita bisa menjalani,apakah kita bisa menjalani,apakah kita bisa menjalani,"['apakah', 'kita', 'bisa', 'menjalani']",['menjalani'],['jalan'],jalan
happy,Apakah kita peduli,Apakah kita peduli,apakah kita peduli,apakah kita peduli,"['apakah', 'kita', 'peduli']",['peduli'],['peduli'],peduli
happy,Apakah ku sanggup menjalaninya,Apakah ku sanggup menjalaninya,apakah ku sanggup menjalaninya,apakah ku sanggup menjalaninya,"['apakah', 'ku', 'sanggup', 'menjalaninya']","['ku', 'sanggup', 'menjalaninya']","['ku', 'sanggup', 'jalan']",ku sanggup jalan
happy,Apalagi huru-hara,Apalagi huru hara,apalagi huru hara,apalagi huru hara,"['apalagi', 'huru', 'hara']","['huru', 'hara']","['huru', 'hara']",huru hara
happy,Apalagi tiga cuma engkau saja,Apalagi tiga cuma engkau saja,apalagi tiga cuma engkau saja,apalagi tiga cuma engkau saja,"['apalagi', 'tiga', 'cuma', 'engkau', 'saja']",['engkau'],['engkau'],engkau
happy,Apapun akan kulewati,Apapun akan kulewati,apapun akan kulewati,apapun akan kulewati,"['apapun', 'akan', 'kulewati']","['apapun', 'kulewati']","['apa', 'lewat']",apa lewat
happy,Apapun itu  kuharap kau pun begitu,Apapun itu  kuharap kau pun begitu,apapun itu  kuharap kau pun begitu,apapun itu kuharap kamu pun begitu,"['apapun', 'itu', 'kuharap', 'kamu', 'pun', 'begitu']","['apapun', 'kuharap']","['apa', 'harap']",apa harap
happy,Apapun yang akan terjadi di hadapan kita,Apapun yang akan terjadi di hadapan kita,apapun yang akan terjadi di hadapan kita,apapun yang akan terjadi di hadapan kita,"['apapun', 'yang', 'akan', 'terjadi', 'di', 'hadapan', 'kita']","['apapun', 'hadapan']","['apa', 'hadap']",apa hadap
happy,Apapun yang kau lakukan ku harus selalu percaya,Apapun yang kau lakukan ku harus selalu percaya,apapun yang kau lakukan ku harus selalu percaya,apapun yang kamu lakukan ku harus selalu percaya,"['apapun', 'yang', 'kamu', 'lakukan', 'ku', 'harus', 'selalu', 'percaya']","['apapun', 'lakukan', 'ku', 'percaya']","['apa', 'laku', 'ku', 'percaya']",apa laku ku percaya
happy,Argentina hingga Pantai Gading,Argentina hingga Pantai Gading,argentina hingga pantai gading,argentina hingga pantai gading,"['argentina', 'hingga', 'pantai', 'gading']","['argentina', 'pantai', 'gading']","['argentina', 'pantai', 'gading']",argentina pantai gading
happy,Arti rasa satu itu,Arti rasa satu itu,arti rasa satu itu,arti rasa satu itu,"['arti', 'rasa', 'satu', 'itu']",['arti'],['arti'],arti
happy,Arti rasa satu itu (rasa satu itu),Arti rasa satu itu  rasa satu itu ,arti rasa satu itu  rasa satu itu ,arti rasa satu itu rasa satu itu,"['arti', 'rasa', 'satu', 'itu', 'rasa', 'satu', 'itu']",['arti'],['arti'],arti
happy,Arungi badai lautan asa,Arungi badai lautan asa,arungi badai lautan asa,arungi badai lautan asa,"['arungi', 'badai', 'lautan', 'asa']","['arungi', 'badai', 'lautan', 'asa']","['arung', 'badai', 'laut', 'asa']",arung badai laut asa
happy,Arungi rasa getir dan manisnya,Arungi rasa getir dan manisnya,arungi rasa getir dan manisnya,arungi rasa getir dan manisnya,"['arungi', 'rasa', 'getir', 'dan', 'manisnya']","['arungi', 'getir', 'manisnya']","['arung', 'getir', 'manis']",arung getir manis
happy,Asa raih bahagia,Asa raih bahagia,asa raih bahagia,asa raih bahagia,"['asa', 'raih', 'bahagia']","['asa', 'raih', 'bahagia']","['asa', 'raih', 'bahagia']",asa raih bahagia
happy,Asik senangkan hati,Asik senangkan hati,asik senangkan hati,asik senangkan hati,"['asik', 'senangkan', 'hati']","['asik', 'senangkan', 'hati']","['asik', 'senang', 'hati']",asik senang hati
happy,Asoy geboy ngebut di jalanan ibukota,Asoy geboy ngebut di jalanan ibukota,asoy geboy ngebut di jalanan ibukota,asyik geboy ngebut di jalanan ibukota,"['asyik', 'geboy', 'ngebut', 'di', 'jalanan', 'ibukota']","['asyik', 'geboy', 'ngebut', 'jalanan', 'ibukota']","['asyik', 'geboy', 'ngebut', 'jalan', 'ibukota']",asyik geboy ngebut jalan ibukota
happy,Atau hanya imajinasi,Atau hanya imajinasi,atau hanya imajinasi,atau hanya imajinasi,"['atau', 'hanya', 'imajinasi']",['imajinasi'],['imajinasi'],imajinasi
happy,Ataukah kita belum mencoba memberi waktu pada logika?,Ataukah kita belum mencoba memberi waktu pada logika ,ataukah kita belum mencoba memberi waktu pada logika ,ataukah kita belum mencoba memberi waktu pada logika,"['ataukah', 'kita', 'belum', 'mencoba', 'memberi', 'waktu', 'pada', 'logika']","['mencoba', 'logika']","['coba', 'logika']",coba logika
happy,Awal pertama jumpa,Awal pertama jumpa,awal pertama jumpa,awal pertama jumpa,"['awal', 'pertama', 'jumpa']",['jumpa'],['jumpa'],jumpa
happy,Awalnya coba-coba dan mulai tergoda,Awalnya coba coba dan mulai tergoda,awalnya coba coba dan mulai tergoda,awalnya coba coba dan mulai tergoda,"['awalnya', 'coba', 'coba', 'dan', 'mulai', 'tergoda']","['coba', 'coba', 'tergoda']","['coba', 'coba', 'goda']",coba coba goda
happy,Awalnya ku tak bermaksud apapun,Awalnya ku tak bermaksud apapun,awalnya ku tak bermaksud apapun,awalnya ku tidak bermaksud apapun,"['awalnya', 'ku', 'tidak', 'bermaksud', 'apapun']","['ku', 'apapun']","['ku', 'apa']",ku apa
happy,Awan menebal,Awan menebal,awan menebal,awan menebal,"['awan', 'menebal']","['awan', 'menebal']","['awan', 'tebal']",awan tebal
happy,Ayah ku punya cerita,Ayah ku punya cerita,ayah ku punya cerita,ayah ku punya cerita,"['ayah', 'ku', 'punya', 'cerita']","['ayah', 'ku', 'cerita']","['ayah', 'ku', 'cerita']",ayah ku cerita
happy,Ayah mendoa,Ayah mendoa,ayah mendoa,ayah mendoa,"['ayah', 'mendoa']","['ayah', 'mendoa']","['ayah', 'doa']",ayah doa
happy,Ayo semangat,Ayo semangat,ayo semangat,ayo semangat,"['ayo', 'semangat']","['ayo', 'semangat']","['ayo', 'semangat']",ayo semangat
happy,Ayo sholat yok,Ayo sholat yok,ayo sholat yok,ayo sholat yok,"['ayo', 'sholat', 'yok']","['ayo', 'sholat', 'yok']","['ayo', 'sholat', 'yok']",ayo sholat yok
happy,badai hanya serasa seperti hujan,badai hanya serasa seperti hujan,badai hanya serasa seperti hujan,badai hanya serasa seperti hujan,"['badai', 'hanya', 'serasa', 'seperti', 'hujan']","['badai', 'serasa', 'hujan']","['badai', 'serasa', 'hujan']",badai serasa hujan
happy,bagai air hujan yg menyirami bumi,bagai air hujan yg menyirami bumi,bagai air hujan yg menyirami bumi,bagai air hujan yang menyirami bumi,"['bagai', 'air', 'hujan', 'yang', 'menyirami', 'bumi']","['air', 'hujan', 'menyirami', 'bumi']","['air', 'hujan', 'siram', 'bumi']",air hujan siram bumi
happy,Bagai bulan bintang,Bagai bulan bintang,bagai bulan bintang,bagai bulan bintang,"['bagai', 'bulan', 'bintang']",['bintang'],['bintang'],bintang
happy,Bagai mentari bersinar,Bagai mentari bersinar,bagai mentari bersinar,bagai mentari bersinar,"['bagai', 'mentari', 'bersinar']","['mentari', 'bersinar']","['mentari', 'sinar']",mentari sinar
happy,Bagai pelangi mewarnai alam kelam,Bagai pelangi mewarnai alam kelam,bagai pelangi mewarnai alam kelam,bagai pelangi mewarnai alam kelam,"['bagai', 'pelangi', 'mewarnai', 'alam', 'kelam']","['pelangi', 'mewarnai', 'alam', 'kelam']","['pelangi', 'warna', 'alam', 'kelam']",pelangi warna alam kelam
happy,Bagai tetes embun pagi,Bagai tetes embun pagi,bagai tetes embun pagi,bagai tetes embun pagi,"['bagai', 'tetes', 'embun', 'pagi']","['tetes', 'embun', 'pagi']","['tetes', 'embun', 'pagi']",tetes embun pagi
happy,Bagaikan doa yang mengikat,Bagaikan doa yang mengikat,bagaikan doa yang mengikat,bagaikan doa yang mengikat,"['bagaikan', 'doa', 'yang', 'mengikat']","['doa', 'mengikat']","['doa', 'ikat']",doa ikat
happy,bagaikan lukisan dari tangan Tuhan,bagaikan lukisan dari tangan Tuhan,bagaikan lukisan dari tangan tuhan,bagaikan lukisan dari tangan tuhan,"['bagaikan', 'lukisan', 'dari', 'tangan', 'tuhan']","['lukisan', 'tangan', 'tuhan']","['lukis', 'tangan', 'tuhan']",lukis tangan tuhan
happy,Bagaikan mutiara yang menari-nari,Bagaikan mutiara yang menari nari,bagaikan mutiara yang menari nari,bagaikan mutiara yang menari nari,"['bagaikan', 'mutiara', 'yang', 'menari', 'nari']","['mutiara', 'menari', 'nari']","['mutiara', 'tari', 'nari']",mutiara tari nari
happy,Bagaikan setan,Bagaikan setan,bagaikan setan,bagaikan setan,"['bagaikan', 'setan']",['setan'],['setan'],setan
happy,Bagaimana kan ku cari,Bagaimana kan ku cari,bagaimana kan ku cari,bagaimana akan ku cari,"['bagaimana', 'akan', 'ku', 'cari']","['ku', 'cari']","['ku', 'cari']",ku cari
happy,Bagi anak cucu kita semua,Bagi anak cucu kita semua,bagi anak cucu kita semua,bagi anak cucu kita semua,"['bagi', 'anak', 'cucu', 'kita', 'semua']","['anak', 'cucu']","['anak', 'cucu']",anak cucu
happy,Bagi hambanya yang sabar,Bagi hambanya yang sabar,bagi hambanya yang sabar,bagi hambanya yang sabar,"['bagi', 'hambanya', 'yang', 'sabar']","['hambanya', 'sabar']","['hamba', 'sabar']",hamba sabar
happy,Bagi nama Penebus,Bagi nama Penebus,bagi nama penebus,bagi nama penebus,"['bagi', 'nama', 'penebus']","['nama', 'penebus']","['nama', 'tebus']",nama tebus
happy,Bagi semua adam di dunia fana ini,Bagi semua adam di dunia fana ini,bagi semua adam di dunia fana ini,bagi semua adam di dunia fana ini,"['bagi', 'semua', 'adam', 'di', 'dunia', 'fana', 'ini']","['adam', 'dunia', 'fana']","['adam', 'dunia', 'fana']",adam dunia fana
happy,bagian diriku langsung terasa kaku,bagian diriku langsung terasa kaku,bagian diriku langsung terasa kaku,bagian diriku langsung terasa kaku,"['bagian', 'diriku', 'langsung', 'terasa', 'kaku']","['diriku', 'langsung', 'kaku']","['diri', 'langsung', 'kaku']",diri langsung kaku
happy,Bagiku kau arti keindahan,Bagiku kau arti keindahan,bagiku kau arti keindahan,bagiku kamu arti keindahan,"['bagiku', 'kamu', 'arti', 'keindahan']","['bagiku', 'arti', 'keindahan']","['bagi', 'arti', 'indah']",bagi arti indah
happy,bahagia dengan dia,bahagia dengan dia,bahagia dengan dia,bahagia dengan dia,"['bahagia', 'dengan', 'dia']",['bahagia'],['bahagia'],bahagia
happy,Bahagia dirasakan berdua,Bahagia dirasakan berdua,bahagia dirasakan berdua,bahagia dirasakan berdua,"['bahagia', 'dirasakan', 'berdua']","['bahagia', 'dirasakan', 'berdua']","['bahagia', 'rasa', 'dua']",bahagia rasa dua
happy,Bahagia kuingat kampungku,Bahagia kuingat kampungku,bahagia kuingat kampungku,bahagia kuingat kampungku,"['bahagia', 'kuingat', 'kampungku']","['bahagia', 'kuingat', 'kampungku']","['bahagia', 'ingat', 'kampung']",bahagia ingat kampung
happy,Bahagia pertamamu...,Bahagia pertamamu   ,bahagia pertamamu   ,bahagia pertamamu,"['bahagia', 'pertamamu']","['bahagia', 'pertamamu']","['bahagia', 'pertama']",bahagia pertama
happy,bahagia selalu dimiliki,bahagia selalu dimiliki,bahagia selalu dimiliki,bahagia selalu dimiliki,"['bahagia', 'selalu', 'dimiliki']","['bahagia', 'dimiliki']","['bahagia', 'milik']",bahagia milik
happy,Bahagia selamanya,Bahagia selamanya,bahagia selamanya,bahagia selamanya,"['bahagia', 'selamanya']",['bahagia'],['bahagia'],bahagia
happy,Bahagiaku kini,Bahagiaku kini,bahagiaku kini,bahagiaku kini,"['bahagiaku', 'kini']",['bahagiaku'],['bahagia'],bahagia
happy,Bahagialah aku saat ini,Bahagialah aku saat ini,bahagialah aku saat ini,bahagialah aku saat ini,"['bahagialah', 'aku', 'saat', 'ini']",['bahagialah'],['bahagia'],bahagia
happy,Bahagiamu bahagiaku pasti,Bahagiamu bahagiaku pasti,bahagiamu bahagiaku pasti,bahagiamu bahagiaku pasti,"['bahagiamu', 'bahagiaku', 'pasti']","['bahagiamu', 'bahagiaku']","['bahagia', 'bahagia']",bahagia bahagia
happy,Bahkan ketika engkau bernafas,Bahkan ketika engkau bernafas,bahkan ketika engkau bernafas,bahkan ketika engkau bernafas,"['bahkan', 'ketika', 'engkau', 'bernafas']","['engkau', 'bernafas']","['engkau', 'nafas']",engkau nafas
happy,Bahwa kau yang terbaik,Bahwa kau yang terbaik,bahwa kau yang terbaik,bahwa kamu yang terbaik,"['bahwa', 'kamu', 'yang', 'terbaik']",['terbaik'],['baik'],baik
happy,Bahwa ku hanya main-main,Bahwa ku hanya main main,bahwa ku hanya main main,bahwa ku hanya main main,"['bahwa', 'ku', 'hanya', 'main', 'main']","['ku', 'main', 'main']","['ku', 'main', 'main']",ku main main
happy,Bahwa perbedaan bukan jadi alasan,Bahwa perbedaan bukan jadi alasan,bahwa perbedaan bukan jadi alasan,bahwa perbedaan bukan jadi alasan,"['bahwa', 'perbedaan', 'bukan', 'jadi', 'alasan']","['perbedaan', 'alasan']","['beda', 'alas']",beda alas
happy,Bahwa yang kau bilang,Bahwa yang kau bilang,bahwa yang kau bilang,bahwa yang kamu bilang,"['bahwa', 'yang', 'kamu', 'bilang']",['bilang'],['bilang'],bilang
happy,Bahwasanya hidup sudah digariskan,Bahwasanya hidup sudah digariskan,bahwasanya hidup sudah digariskan,bahwasanya hidup sudah digariskan,"['bahwasanya', 'hidup', 'sudah', 'digariskan']","['hidup', 'digariskan']","['hidup', 'garis']",hidup garis
happy,Baik dan bijaksana,Baik dan bijaksana,baik dan bijaksana,baik dan bijaksana,"['baik', 'dan', 'bijaksana']",['bijaksana'],['bijaksana'],bijaksana
happy,Bala surga menyanyi megah kaum gembala dibritakannya,Bala surga menyanyi megah kaum gembala dibritakannya,bala surga menyanyi megah kaum gembala dibritakannya,bala surga menyanyi megah kaum gembala dibritakannya,"['bala', 'surga', 'menyanyi', 'megah', 'kaum', 'gembala', 'dibritakannya']","['bala', 'surga', 'menyanyi', 'megah', 'kaum', 'gembala', 'dibritakannya']","['bala', 'surga', 'nyanyi', 'megah', 'kaum', 'gembala', 'dibritakannya']",bala surga nyanyi megah kaum gembala dibritakannya
happy,bang supit main kendang  pak rojek mandolinnya,bang supit main kendang  pak rojek mandolinnya,bang supit main kendang  pak rojek mandolinnya,bang supit main kendang pak rojek mandolinnya,"['bang', 'supit', 'main', 'kendang', 'pak', 'rojek', 'mandolinnya']","['bang', 'supit', 'main', 'kendang', 'rojek', 'mandolinnya']","['bang', 'supit', 'main', 'kendang', 'rojek', 'mandolin']",bang supit main kendang rojek mandolin
happy,bangsa-bangsa bangkitlah,bangsa bangsa bangkitlah,bangsa bangsa bangkitlah,bangsa bangsa bangkitlah,"['bangsa', 'bangsa', 'bangkitlah']","['bangsa', 'bangsa', 'bangkitlah']","['bangsa', 'bangsa', 'bangkit']",bangsa bangsa bangkit
happy,Banyak hal yang telah kita lewati,Banyak hal yang telah kita lewati,banyak hal yang telah kita lewati,banyak hal yang telah kita lewati,"['banyak', 'hal', 'yang', 'telah', 'kita', 'lewati']",['lewati'],['lewat'],lewat
happy,Banyak hal yang telah ku alami,Banyak hal yang telah ku alami,banyak hal yang telah ku alami,banyak hal yang telah ku alami,"['banyak', 'hal', 'yang', 'telah', 'ku', 'alami']","['ku', 'alami']","['ku', 'alami']",ku alami
happy,Baru kini ku sadari engkaulah satu-satunya,Baru kini ku sadari engkaulah satu satunya,baru kini ku sadari engkaulah satu satunya,baru kini ku sadari engkaulah satu satunya,"['baru', 'kini', 'ku', 'sadari', 'engkaulah', 'satu', 'satunya']","['ku', 'sadari', 'engkaulah', 'satunya']","['ku', 'sadar', 'engkau', 'satu']",ku sadar engkau satu
happy,Basa basi jadi tradisi,Basa basi jadi tradisi,basa basi jadi tradisi,basa basi jadi tradisi,"['basa', 'basi', 'jadi', 'tradisi']","['basa', 'basi', 'tradisi']","['basa', 'basi', 'tradisi']",basa basi tradisi
happy,Bawa aku di mimpimu,Bawa aku di mimpimu,bawa aku di mimpimu,bawa aku di mimpimu,"['bawa', 'aku', 'di', 'mimpimu']","['bawa', 'mimpimu']","['bawa', 'mimpi']",bawa mimpi
happy,Bawa daku  bawa daku,Bawa daku  bawa daku,bawa daku  bawa daku,bawa daku bawa daku,"['bawa', 'daku', 'bawa', 'daku']","['bawa', 'daku', 'bawa', 'daku']","['bawa', 'daku', 'bawa', 'daku']",bawa daku bawa daku
happy,Bawa daku penuhiku,Bawa daku penuhiku,bawa daku penuhiku,bawa daku penuhiku,"['bawa', 'daku', 'penuhiku']","['bawa', 'daku', 'penuhiku']","['bawa', 'daku', 'penuh']",bawa daku penuh
happy,Bawa Keselamatan Kekal,Bawa Keselamatan Kekal,bawa keselamatan kekal,bawa keselamatan kekal,"['bawa', 'keselamatan', 'kekal']","['bawa', 'keselamatan', 'kekal']","['bawa', 'selamat', 'kekal']",bawa selamat kekal
happy,Bawaku ke keadaan yang lebih indah,Bawaku ke keadaan yang lebih indah,bawaku ke keadaan yang lebih indah,bawaku ke keadaan yang lebih indah,"['bawaku', 'ke', 'keadaan', 'yang', 'lebih', 'indah']","['bawaku', 'indah']","['bawa', 'indah']",bawa indah
happy,Bawalah Aku  Dalam Mimpi Mimpi Indahmu,Bawalah Aku  Dalam Mimpi Mimpi Indahmu,bawalah aku  dalam mimpi mimpi indahmu,bawalah aku dalam mimpi mimpi indahmu,"['bawalah', 'aku', 'dalam', 'mimpi', 'mimpi', 'indahmu']","['bawalah', 'mimpi', 'mimpi', 'indahmu']","['bawa', 'mimpi', 'mimpi', 'indah']",bawa mimpi mimpi indah
happy,Bawalah aku di dalam mimpi-mimpi,Bawalah aku di dalam mimpi mimpi,bawalah aku di dalam mimpi mimpi,bawalah aku di dalam mimpi mimpi,"['bawalah', 'aku', 'di', 'dalam', 'mimpi', 'mimpi']","['bawalah', 'mimpi', 'mimpi']","['bawa', 'mimpi', 'mimpi']",bawa mimpi mimpi
happy,Bawalah aku terbang,Bawalah aku terbang,bawalah aku terbang,bawalah aku terbang,"['bawalah', 'aku', 'terbang']","['bawalah', 'terbang']","['bawa', 'terbang']",bawa terbang
happy,Bawalah daku,Bawalah daku,bawalah daku,bawalah daku,"['bawalah', 'daku']","['bawalah', 'daku']","['bawa', 'daku']",bawa daku
happy,Bawalah daku selalu dalam mimpimu,Bawalah daku selalu dalam mimpimu,bawalah daku selalu dalam mimpimu,bawalah daku selalu dalam mimpimu,"['bawalah', 'daku', 'selalu', 'dalam', 'mimpimu']","['bawalah', 'daku', 'mimpimu']","['bawa', 'daku', 'mimpi']",bawa daku mimpi
happy,Bawalah diriku slamanya,Bawalah diriku slamanya,bawalah diriku slamanya,bawalah diriku slamanya,"['bawalah', 'diriku', 'slamanya']","['bawalah', 'diriku', 'slamanya']","['bawa', 'diri', 'slamanya']",bawa diri slamanya
happy,Bayangan dirimu,Bayangan dirimu,bayangan dirimu,bayangan dirimu,"['bayangan', 'dirimu']","['bayangan', 'dirimu']","['bayang', 'diri']",bayang diri
happy,Bayanganmu slalu ada,Bayanganmu slalu ada,bayanganmu slalu ada,bayanganmu selalu ada,"['bayanganmu', 'selalu', 'ada']",['bayanganmu'],['bayang'],bayang
happy,bayangkan aku disisimu,bayangkan aku disisimu,bayangkan aku disisimu,bayangkan aku disisimu,"['bayangkan', 'aku', 'disisimu']","['bayangkan', 'disisimu']","['bayang', 'sis']",bayang sis
